CATEGORY NAME,RESTUARANT URL,DELIVERY RADIUS
Cakes,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Fruit & Vegetables,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Fresh Meat, Fish & Poultry",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Deli, Cooked Meats & Dips",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Milk, Eggs, Cheese & Dairy",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Yogurt & Desserts,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Fruit Juice & Smoothies,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Pizza & Ready Meals,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Sandwiches, Pasties and Snacking",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Mints, Gum & Sweets",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Chocolate Bars, Pouches & Multipacks",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Gifting & Celebration Ideas,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Crisps, Nuts & Snacks",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Frozen Desserts & Ice Cream,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Frozen Food,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Breakfast Cereals & Snack Bars,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Biscuits & Crackers,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Tea, Coffee & Hot Chocolate",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Home Baking, Desserts & Spreads",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Rice, Pasta & Noodles",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Cooking Sauces & World Foods,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Tins, Jars & Packets",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Sauces, Seasonings & Oils",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Single Soft Drinks,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Multipack & Sharing Soft Drinks,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Squash, Cordial & Juice",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Water,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Energy Drinks,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Mixers and Tonics,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Medicines,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Baby,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Toiletries, Health & Beauty",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Household & Cleaning,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Pet,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Batteries & Light Bulbs,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Phone Accessories, Gadgets & Toys",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Stationery,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Vaping,https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Cigarettes, Tobacco & Lighters",https://deliveroo.co.uk/menu/Kettering/brambleside/one-stop-brambleside?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Alcoholic Multipacks,https://deliveroo.co.uk/menu/Kettering/kettering/chrysler-garage-ltd?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
White Wine,https://deliveroo.co.uk/menu/Kettering/kettering/chrysler-garage-ltd?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Rosé Wine,https://deliveroo.co.uk/menu/Kettering/kettering/chrysler-garage-ltd?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Red Wine,https://deliveroo.co.uk/menu/Kettering/kettering/chrysler-garage-ltd?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
